,Business,Business ID,City,State,Category,Latitude,Longitude,Price,Reviews,Rating
66,Lick Honest Ice Creams,MFVr6pMQxFsUwdEfUueaCQ,Austin,TX,Ice Cream & Frozen Yogurt,30.2556546727507,-97.7627457002276,$,1243,4.5
67,Easy Tiger,LFVtF9FeWZ3mavVPk0j1Gw,Austin,TX,German,30.2658004760742,-97.7356872558594,$$,1620,4.0
68,Turf N Surf Po' Boy,pKXtSuabMA63tYCk1UMR-g,Austin,TX,Cajun/Creole,30.2671310218702,-97.7457510140812,$$,1046,4.5
69,Eddie V's Prime Seafood,4htpnlDZ6zAfpvEwPw1CDQ,Austin,TX,Seafood,30.26613,-97.74058,$$$,1086,4.5
70,Ramen Tatsu-Ya,uwFa-pTQL1Rv4nULoIraNw,Austin,TX,Ramen,30.253899793553,-97.7631825953722,$$,1592,4.0
71,Titaya's Thai Cuisine,pCNH6bRbyAR7vhaIKoFCxQ,Austin,TX,Thai,30.3236051867619,-97.7273681944428,$$,1544,4.0
72,Barley Swine,J8Ha6yIvGoU-E31jnCq7Ew,Austin,TX,American (New),30.3412737661652,-97.7383886364151,$$$,1030,4.5
73,Micklethwait Craft Meats,sjgbSELDpzaabRe8bZwUbw,Austin,TX,Food Trucks,30.26846,-97.72518,$$,869,4.5
74,"Rudy's ""Country Store"" and Bar-B-Q",ih_MxWyh3OswxzG857v6TQ,Austin,TX,Barbeque,30.263636,-97.815488,$$,1026,4.5
75,Kome Sushi Kitchen,nJx3CI1grAFz1m9DO4CN-g,Austin,TX,Japanese,30.314106,-97.714511,$$,1260,4.0
76,Dolce Neve,rfqq-rHTTipS5XSuOhxCXg,Austin,TX,Gelato,30.247625,-97.755404,$$,587,4.5
77,Whole Foods Market,5y2zZGIE2a4tuEJ5FhSVrQ,Austin,TX,Grocery,30.270814679839,-97.7531790382672,$$,1198,4.0
78,Stiles Switch BBQ & Brew,zDVjN3dC9EfQno21m3O8Pg,Austin,TX,Barbeque,30.33432,-97.7215,$$,1536,4.0
79,Tacodeli,-qjkQHH-5O8BAztc6udOuw,Austin,TX,Caterers,30.25827,-97.78747,$,978,4.5
80,Hopdoddy Burger Bar,67bZm-KQQCwSat7_jmiVbA,Austin,TX,Burgers,30.3576649744495,-97.73315,$$,1682,4.0
81,Santorini Cafe,lIXsFNSHZmhfD0dlbV4lSg,Austin,TX,Greek,30.3876,-97.68399,$$,666,4.5
82,Sweet Ritual,YVdTl-VERcOig4MP1264Rw,Austin,TX,Vegan,30.30608,-97.71523,$,591,4.5
83,Cafe Java- Austin,JmL6gV8o-hDzjRLG2TqM4g,Austin,TX,Coffee & Tea,30.4000609323005,-97.7041617306885,$,1035,4.5
84,Gourdough's Public House,oug5bLTWP_YTtj1C3_X6Xw,Austin,TX,Pubs,30.245382,-97.780437,$$,1386,4.0
85,Veracruz All Natural,5OAi35OianJzCnIsL8aOFQ,Austin,TX,Food Trucks,30.25793,-97.72603,$,750,4.5
86,Blue Dahlia Bistro,-waa6lH9SmAkaKiLx74_FA,Austin,TX,Breakfast & Brunch,30.26889,-97.728588,$$,1270,4.0
87,Chago's Caribbean Cuisine,AqhAJk1OyupIaYjg0JpZlA,Austin,TX,Cuban,30.34028,-97.7169,$$,742,4.5
88,Patrizi's,5ufHVEdJNPypB4v_UhUUUQ,Austin,TX,Italian,30.2839715080976,-97.7172101465576,$$,615,4.5
89,True Food Kitchen,UiiIGT4lbFQhuFIiI1P7DA,Austin,TX,American (New),30.2672474,-97.7520856,$$,863,4.5
90,Via 313 Pizza - West 6th,K6Xm4kI1I2HPssM9FgXNsA,Austin,TX,Pizza,30.2702542,-97.7497127,$$,654,4.5
91,888 Pan Asian Restaurant,XNrAtQFU4vl9NA8GTlNonA,Austin,TX,Vietnamese,30.2296193570823,-97.7299686863661,$$,1573,4.0
92,"Truluck's Seafood, Steak and Crab House",pCIdgI3QYpzgrtLAmDemuA,Austin,TX,Seafood,30.26683,-97.74502,$$$,757,4.5
93,T-Loc's Sonora Hot Dogs,puse310xumoKI0WMHNXnRA,Austin,TX,Hot Dogs,30.3211689,-97.7395055,$,363,5.0
94,Haru Ramen & Yakitori,wMgWB_27X6Wl-K1mHokAtw,Austin,TX,Ramen,30.3547112891156,-97.7329172375578,$$,976,4.0
95,Boteco,xwHhz09uHHTuxJiuRbaS6Q,Austin,TX,Food Trucks,30.2641113,-97.7301493,$$,375,5.0
96,Bird Bird Biscuit,PrWSjn4a8o4dHoqKs53GBA,Austin,TX,Breakfast & Brunch,30.284804,-97.713964,$,490,4.5
97,Juan In A Million,bJbJyH6sZeltbBIbe32R8g,Austin,TX,Mexican,30.2552660599625,-97.7190592909029,$,1789,4.0
98,Texas State Capitol,uAdVoIKCNyFelMAc5YM1tg,Austin,TX,Landmarks & Historical Buildings,30.274686516683,-97.7403594547989,0,450,4.5
99,Perry's Steakhouse & Grille - Downtown Austin,ZJFIDLUiZ2Vs0NTj0pGVfg,Austin,TX,Steakhouses,30.26916,-97.7426,$$$,1037,4.0
100,Hopdoddy Burger Bar,bZiIIUcpgxh8mpKMDhdqbA,Austin,TX,Burgers,30.249649,-97.749907,$$,4532,4.0
101,Home Slice Pizza,1Eq16r_MSnvPsnIykBdy9w,Austin,TX,Pizza,30.2492,-97.74943,$$,3556,4.5
102,Uchi,zFaHweOJ40jjtvpGTjlspw,Austin,TX,Sushi Bars,30.25754,-97.75981,$$$$,2278,4.5
103,Salty Sow,AcFt364BrHyMu3VrSCKMOw,Austin,TX,American (Traditional),30.2836497259461,-97.7213180065155,$$,2574,4.5
104,Terry Black's Barbecue,YZs1gNSh_sN8JmN_nrpxeA,Austin,TX,Barbeque,30.2596915716907,-97.7548013627529,$$,2654,4.5
105,Uchiko,4sfF1paqVfXvzAIdzs6MQg,Austin,TX,Sushi Bars,30.31067,-97.74,$$$$,1658,4.5
106,la Barbecue,EPkf96UcG2W3ttlQphWUGQ,Austin,TX,Barbeque,30.2561254,-97.7223386,$$,2229,4.5
107,Bouldin Creek Cafe,qkpTiGcJbkNKgmCj4rmkkQ,Austin,TX,Vegetarian,30.24646,-97.75677,$$,2178,4.5
108,Gus's World Famous Fried Chicken,v1UzkU8lEWdjxq8byWFOKg,Austin,TX,Southern,30.2634862,-97.7417305,$,2203,4.0
109,Koriente,nXtn29mTWlYeHxvHSz4dfA,Austin,TX,Asian Fusion,30.267,-97.73597,$,1596,4.5
110,Odd Duck,uPWJtYJi76EniU0xrX-zbA,Austin,TX,American (Traditional),30.25452,-97.762064,$$$,1640,4.5
111,Banger's Sausage House & Beer Garden,7PZKJbMakI_WSbgA-DJUHA,Austin,TX,Beer Gardens,30.258905,-97.738413,$$,2288,4.0
112,Little Deli & Pizzeria,U9p0G4OOUWP425Ww8FHaGQ,Austin,TX,Delis,30.342656,-97.725445,$,1128,4.5
113,Ramen Tatsu-Ya,OD2IZRD5qopWWHHR-blN8Q,Austin,TX,Ramen,30.361239468932,-97.715247647945,$$,2375,4.0
114,South Congress Cafe,jREzLrIEkc4jQKLfYMJ0gg,Austin,TX,Breakfast & Brunch,30.247926,-97.7506415082953,$$,2408,4.0
115,Lick Honest Ice Creams,MFVr6pMQxFsUwdEfUueaCQ,Austin,TX,Ice Cream & Frozen Yogurt,30.2556546727507,-97.7627457002276,$,1243,4.5
116,Easy Tiger,LFVtF9FeWZ3mavVPk0j1Gw,Austin,TX,German,30.2658004760742,-97.7356872558594,$$,1620,4.0
117,Turf N Surf Po' Boy,pKXtSuabMA63tYCk1UMR-g,Austin,TX,Cajun/Creole,30.2671310218702,-97.7457510140812,$$,1046,4.5
118,Eddie V's Prime Seafood,4htpnlDZ6zAfpvEwPw1CDQ,Austin,TX,Seafood,30.26613,-97.74058,$$$,1086,4.5
119,Ramen Tatsu-Ya,uwFa-pTQL1Rv4nULoIraNw,Austin,TX,Ramen,30.253899793553,-97.7631825953722,$$,1592,4.0
120,Titaya's Thai Cuisine,pCNH6bRbyAR7vhaIKoFCxQ,Austin,TX,Thai,30.3236051867619,-97.7273681944428,$$,1544,4.0
121,Barley Swine,J8Ha6yIvGoU-E31jnCq7Ew,Austin,TX,American (New),30.3412737661652,-97.7383886364151,$$$,1030,4.5
122,Micklethwait Craft Meats,sjgbSELDpzaabRe8bZwUbw,Austin,TX,Food Trucks,30.26846,-97.72518,$$,869,4.5
123,"Rudy's ""Country Store"" and Bar-B-Q",ih_MxWyh3OswxzG857v6TQ,Austin,TX,Barbeque,30.263636,-97.815488,$$,1026,4.5
124,Kome Sushi Kitchen,nJx3CI1grAFz1m9DO4CN-g,Austin,TX,Japanese,30.314106,-97.714511,$$,1260,4.0
125,Dolce Neve,rfqq-rHTTipS5XSuOhxCXg,Austin,TX,Gelato,30.247625,-97.755404,$$,587,4.5
126,Whole Foods Market,5y2zZGIE2a4tuEJ5FhSVrQ,Austin,TX,Grocery,30.270814679839,-97.7531790382672,$$,1198,4.0
127,Stiles Switch BBQ & Brew,zDVjN3dC9EfQno21m3O8Pg,Austin,TX,Barbeque,30.33432,-97.7215,$$,1536,4.0
128,Tacodeli,-qjkQHH-5O8BAztc6udOuw,Austin,TX,Caterers,30.25827,-97.78747,$,978,4.5
129,Hopdoddy Burger Bar,67bZm-KQQCwSat7_jmiVbA,Austin,TX,Burgers,30.3576649744495,-97.73315,$$,1682,4.0
130,Santorini Cafe,lIXsFNSHZmhfD0dlbV4lSg,Austin,TX,Greek,30.3876,-97.68399,$$,666,4.5
131,Sweet Ritual,YVdTl-VERcOig4MP1264Rw,Austin,TX,Vegan,30.30608,-97.71523,$,591,4.5
132,Cafe Java- Austin,JmL6gV8o-hDzjRLG2TqM4g,Austin,TX,Coffee & Tea,30.4000609323005,-97.7041617306885,$,1035,4.5
133,Gourdough's Public House,oug5bLTWP_YTtj1C3_X6Xw,Austin,TX,Pubs,30.245382,-97.780437,$$,1386,4.0
134,Veracruz All Natural,5OAi35OianJzCnIsL8aOFQ,Austin,TX,Food Trucks,30.25793,-97.72603,$,750,4.5
135,Blue Dahlia Bistro,-waa6lH9SmAkaKiLx74_FA,Austin,TX,Breakfast & Brunch,30.26889,-97.728588,$$,1270,4.0
136,Chago's Caribbean Cuisine,AqhAJk1OyupIaYjg0JpZlA,Austin,TX,Cuban,30.34028,-97.7169,$$,742,4.5
137,Patrizi's,5ufHVEdJNPypB4v_UhUUUQ,Austin,TX,Italian,30.2839715080976,-97.7172101465576,$$,615,4.5
138,True Food Kitchen,UiiIGT4lbFQhuFIiI1P7DA,Austin,TX,American (New),30.2672474,-97.7520856,$$,863,4.5
139,Via 313 Pizza - West 6th,K6Xm4kI1I2HPssM9FgXNsA,Austin,TX,Pizza,30.2702542,-97.7497127,$$,654,4.5
140,888 Pan Asian Restaurant,XNrAtQFU4vl9NA8GTlNonA,Austin,TX,Vietnamese,30.2296193570823,-97.7299686863661,$$,1573,4.0
141,"Truluck's Seafood, Steak and Crab House",pCIdgI3QYpzgrtLAmDemuA,Austin,TX,Seafood,30.26683,-97.74502,$$$,757,4.5
142,T-Loc's Sonora Hot Dogs,puse310xumoKI0WMHNXnRA,Austin,TX,Hot Dogs,30.3211689,-97.7395055,$,363,5.0
143,Haru Ramen & Yakitori,wMgWB_27X6Wl-K1mHokAtw,Austin,TX,Ramen,30.3547112891156,-97.7329172375578,$$,976,4.0
144,Boteco,xwHhz09uHHTuxJiuRbaS6Q,Austin,TX,Food Trucks,30.2641113,-97.7301493,$$,375,5.0
145,Bird Bird Biscuit,PrWSjn4a8o4dHoqKs53GBA,Austin,TX,Breakfast & Brunch,30.284804,-97.713964,$,490,4.5
146,Juan In A Million,bJbJyH6sZeltbBIbe32R8g,Austin,TX,Mexican,30.2552660599625,-97.7190592909029,$,1789,4.0
147,Texas State Capitol,uAdVoIKCNyFelMAc5YM1tg,Austin,TX,Landmarks & Historical Buildings,30.274686516683,-97.7403594547989,0,450,4.5
148,Perry's Steakhouse & Grille - Downtown Austin,ZJFIDLUiZ2Vs0NTj0pGVfg,Austin,TX,Steakhouses,30.26916,-97.7426,$$$,1037,4.0
149,Pinthouse Pizza,j3CWjH0XtesbbDZFVq3c7Q,Austin,TX,Pizza,30.3187905381179,-97.7391115483136,$$,944,4.0
150,Home Slice Pizza,1Eq16r_MSnvPsnIykBdy9w,Austin,TX,Pizza,30.2492,-97.74943,$$,3556,4.5
151,Uchi,zFaHweOJ40jjtvpGTjlspw,Austin,TX,Sushi Bars,30.25754,-97.75981,$$$$,2278,4.5
152,Salty Sow,AcFt364BrHyMu3VrSCKMOw,Austin,TX,American (Traditional),30.2836497259461,-97.7213180065155,$$,2574,4.5
153,Terry Black's Barbecue,YZs1gNSh_sN8JmN_nrpxeA,Austin,TX,Barbeque,30.2596915716907,-97.7548013627529,$$,2654,4.5
154,Uchiko,4sfF1paqVfXvzAIdzs6MQg,Austin,TX,Sushi Bars,30.31067,-97.74,$$$$,1658,4.5
155,la Barbecue,EPkf96UcG2W3ttlQphWUGQ,Austin,TX,Barbeque,30.2561254,-97.7223386,$$,2229,4.5
156,Bouldin Creek Cafe,qkpTiGcJbkNKgmCj4rmkkQ,Austin,TX,Vegetarian,30.24646,-97.75677,$$,2178,4.5
157,Gus's World Famous Fried Chicken,v1UzkU8lEWdjxq8byWFOKg,Austin,TX,Southern,30.2634862,-97.7417305,$,2203,4.0
158,Koriente,nXtn29mTWlYeHxvHSz4dfA,Austin,TX,Asian Fusion,30.267,-97.73597,$,1596,4.5
159,Odd Duck,uPWJtYJi76EniU0xrX-zbA,Austin,TX,American (Traditional),30.25452,-97.762064,$$$,1640,4.5
160,Banger's Sausage House & Beer Garden,7PZKJbMakI_WSbgA-DJUHA,Austin,TX,Beer Gardens,30.258905,-97.738413,$$,2288,4.0
161,Little Deli & Pizzeria,U9p0G4OOUWP425Ww8FHaGQ,Austin,TX,Delis,30.342656,-97.725445,$,1128,4.5
162,Ramen Tatsu-Ya,OD2IZRD5qopWWHHR-blN8Q,Austin,TX,Ramen,30.361239468932,-97.715247647945,$$,2375,4.0
163,South Congress Cafe,jREzLrIEkc4jQKLfYMJ0gg,Austin,TX,Breakfast & Brunch,30.247926,-97.7506415082953,$$,2408,4.0
164,Lick Honest Ice Creams,MFVr6pMQxFsUwdEfUueaCQ,Austin,TX,Ice Cream & Frozen Yogurt,30.2556546727507,-97.7627457002276,$,1243,4.5
165,Easy Tiger,LFVtF9FeWZ3mavVPk0j1Gw,Austin,TX,German,30.2658004760742,-97.7356872558594,$$,1620,4.0
166,Turf N Surf Po' Boy,pKXtSuabMA63tYCk1UMR-g,Austin,TX,Cajun/Creole,30.2671310218702,-97.7457510140812,$$,1046,4.5
167,Eddie V's Prime Seafood,4htpnlDZ6zAfpvEwPw1CDQ,Austin,TX,Seafood,30.26613,-97.74058,$$$,1086,4.5
168,Ramen Tatsu-Ya,uwFa-pTQL1Rv4nULoIraNw,Austin,TX,Ramen,30.253899793553,-97.7631825953722,$$,1592,4.0
169,Titaya's Thai Cuisine,pCNH6bRbyAR7vhaIKoFCxQ,Austin,TX,Thai,30.3236051867619,-97.7273681944428,$$,1544,4.0
170,Barley Swine,J8Ha6yIvGoU-E31jnCq7Ew,Austin,TX,American (New),30.3412737661652,-97.7383886364151,$$$,1030,4.5
171,Micklethwait Craft Meats,sjgbSELDpzaabRe8bZwUbw,Austin,TX,Food Trucks,30.26846,-97.72518,$$,869,4.5
172,"Rudy's ""Country Store"" and Bar-B-Q",ih_MxWyh3OswxzG857v6TQ,Austin,TX,Barbeque,30.263636,-97.815488,$$,1026,4.5
173,Kome Sushi Kitchen,nJx3CI1grAFz1m9DO4CN-g,Austin,TX,Japanese,30.314106,-97.714511,$$,1260,4.0
174,Dolce Neve,rfqq-rHTTipS5XSuOhxCXg,Austin,TX,Gelato,30.247625,-97.755404,$$,587,4.5
175,Whole Foods Market,5y2zZGIE2a4tuEJ5FhSVrQ,Austin,TX,Grocery,30.270814679839,-97.7531790382672,$$,1198,4.0
176,Stiles Switch BBQ & Brew,zDVjN3dC9EfQno21m3O8Pg,Austin,TX,Barbeque,30.33432,-97.7215,$$,1536,4.0
177,Tacodeli,-qjkQHH-5O8BAztc6udOuw,Austin,TX,Caterers,30.25827,-97.78747,$,978,4.5
178,Hopdoddy Burger Bar,67bZm-KQQCwSat7_jmiVbA,Austin,TX,Burgers,30.3576649744495,-97.73315,$$,1682,4.0
179,Santorini Cafe,lIXsFNSHZmhfD0dlbV4lSg,Austin,TX,Greek,30.3876,-97.68399,$$,666,4.5
180,Sweet Ritual,YVdTl-VERcOig4MP1264Rw,Austin,TX,Vegan,30.30608,-97.71523,$,591,4.5
181,Cafe Java- Austin,JmL6gV8o-hDzjRLG2TqM4g,Austin,TX,Coffee & Tea,30.4000609323005,-97.7041617306885,$,1035,4.5
182,Gourdough's Public House,oug5bLTWP_YTtj1C3_X6Xw,Austin,TX,Pubs,30.245382,-97.780437,$$,1386,4.0
183,Veracruz All Natural,5OAi35OianJzCnIsL8aOFQ,Austin,TX,Food Trucks,30.25793,-97.72603,$,750,4.5
184,Blue Dahlia Bistro,-waa6lH9SmAkaKiLx74_FA,Austin,TX,Breakfast & Brunch,30.26889,-97.728588,$$,1270,4.0
185,Chago's Caribbean Cuisine,AqhAJk1OyupIaYjg0JpZlA,Austin,TX,Cuban,30.34028,-97.7169,$$,742,4.5
186,Patrizi's,5ufHVEdJNPypB4v_UhUUUQ,Austin,TX,Italian,30.2839715080976,-97.7172101465576,$$,615,4.5
187,True Food Kitchen,UiiIGT4lbFQhuFIiI1P7DA,Austin,TX,American (New),30.2672474,-97.7520856,$$,863,4.5
188,Via 313 Pizza - West 6th,K6Xm4kI1I2HPssM9FgXNsA,Austin,TX,Pizza,30.2702542,-97.7497127,$$,654,4.5
189,888 Pan Asian Restaurant,XNrAtQFU4vl9NA8GTlNonA,Austin,TX,Vietnamese,30.2296193570823,-97.7299686863661,$$,1573,4.0
190,"Truluck's Seafood, Steak and Crab House",pCIdgI3QYpzgrtLAmDemuA,Austin,TX,Seafood,30.26683,-97.74502,$$$,757,4.5
191,T-Loc's Sonora Hot Dogs,puse310xumoKI0WMHNXnRA,Austin,TX,Hot Dogs,30.3211689,-97.7395055,$,363,5.0
192,Haru Ramen & Yakitori,wMgWB_27X6Wl-K1mHokAtw,Austin,TX,Ramen,30.3547112891156,-97.7329172375578,$$,976,4.0
